GEO/SEX;2011;2012;2013;2014;2015;Pop2011;Pop2012;Pop2013;Pop2014;Pop2015
European Union (current composition);58977;59564;59390;57717;56229;502964837;504047964;505163008;507011330;508540103
Belgium;2118;2062;1935;1933;1908;11000638;11075889;11137974;11180840;11237274
Bulgaria;763;872;724;731;682;7369431;7327224;7284552;7245677;7202198
Czech Republic;1622;1692;1606;1523;1416;10486731;10505445;10516125;10512419;10538275
Denmark;598;659;615;654;577;5560628;5580516;5602628;5627235;5659715
Germany;10166;9952;10156;10288;10166;80222065;80327900;80523746;80767463;81197537
Estonia;218;239;219;242;203;1329660;1325217;1320174;1315819;1314870
Ireland;554;542;487;486;425;4570881;4589287;4609779;4637852;4677627
Greece;477;508;533;565;529;11123392;11086406;11003615;10926807;10858018
Spain;3180;3539;3873;3911;3604;46667174;46818219;46727890;46512199;46449565
France;10574;9975;9832;9100;9154;64978721;65276983;65600350;65942267;66456279
Croatia;712;780;697;726;747;4289857;4275984;4262140;4246809;4225316
Italy;4156;4258;4291;4147;3989;59364690;59394207;59685227;60782668;60795612
Cyprus;31;38;45;43;40;839751;862011;865878;858000;847008
Latvia;441;446;385;384;388;2074605;2044813;2023825;2001468;1986096
Lithuania;1009;921;1084;931;891;3052588;3003641;2971905;2943472;2921262
Luxembourg;61;55;48;75;65;511840;524853;537039;549680;562958
Hungary;2422;2350;2093;1927;1870;9985722;9931925;9908798;9877365;9855571
Malta;22;28;27;36;38;414989;417546;422509;429424;439691
Netherlands;1709;1835;1924;1897;1941;16655799;16730348;16779575;16829289;16900726
Austria;1308;1306;1307;1341;1287;8375164;8408121;8451860;8507786;8584926
Poland;6120;6375;6223;5952;5420;38062718;38063792;38062535;38017856;38005614
Portugal;1018;1076;1053;1223;1132;10572721;10542398;10487289;10427301;10374822
Romania;2538;2493;2405;2201;2225;20199059;20095996;20020074;19947311;19870647
Slovenia;443;449;460;395;434;2050189;2055496;2058821;2061085;2062874
Slovakia;536;575;620;557;480;5392446;5404322;5410836;5415949;5421349
Finland;910;875;898;797;732;5375276;5401267;5426674;5451270;5471753
Sweden;1114;1170;1249;1180;1205;9415570;9482855;9555893;9644864;9747355
United Kingdom;4157;4494;4601;4464;4681;63022532;63495303;63905297;64351155;64875165
Iceland;27;36;48;43;41;318452;319575;321857;325671;329100
Norway;598;515;566;563;598;4920305;4985870;5051275;5107970;5166493
Switzerland;1067;1079;1121;1067;1101;7870134;7954662;8039060;8139631;8237666
Serbia;1256;1244;1198;1134;1064;7251549;7216649;7181505;7146759;7114393
Turkey;1148;1450;1868;1617;1532;73722988;74724269;75627384;76667864;77695904
